event_group_id,condition_id,linked_tweet_count,avg_link_confidence,max_link_confidence,text_similarity,has_tweet_link,event_group_label,first_tweet_at,last_tweet_at,tweet_count,cluster_count,event_text,normalized_event_text,event_tokens,market_created_at,question,market_slug,category,lag_days,temporal_fit,score,creation_month,total_volume,month_percentile_rank
4830,0x0026f721f4dd4caef4c1adff3aae56a6938141b7996a5c86e5879e80b9340e7a,1,0.7136954665184021,0.7136954665184021,0.0,1,"#bitcoin, #btc, $btc",2024-02-27 10:20:41+00:00,2024-02-28 22:03:25+00:00,76,10,"#bitcoin, #btc, $btc #btc, #crypto, #bitcoin $btc, discovery, phase $btc, snap, $60k bitcoin, $btc, back $vlcn, back, highs #bitcoin, bitcoin, technical #bitcoin, above, bitcoin halving, #btc, #crypto #btc, #crypto, #bitcoin bitcoin, hits, $59500",#bitcoin #btc $btc #btc #crypto #bitcoin $btc discovery phase $btc snap $60k bitcoin $btc back $vlcn back highs #bitcoin bitcoin technical #bitcoin above bitcoin halving #btc #crypto #btc #crypto #bitcoin bitcoin hits $59500,"['#bitcoin', '#btc', '$btc', '#btc', '#crypto', '#bitcoin', '$btc', 'discovery', 'phase', '$btc', 'snap', '$60k', 'bitcoin', '$btc', 'back', '$vlcn', 'back', 'highs', '#bitcoin', 'bitcoin', 'technical', '#bitcoin', 'above', 'bitcoin', 'halving', '#btc', '#crypto', '#btc', '#crypto', '#bitcoin', 'bitcoin', 'hits', '$59500']",2024-02-27 22:56:07.465000+00:00,"Will BTC hit $60,000 in March?",will-btc-hit-60000-in-march,crypto / digital assets,0.5246118634259259,0.9250554480820106,3.008710016479926,2024-02,13821.407,0.4160206718346253
4867,0x059587074168eba9515c62a56d16078e3255a6a24f111e78a07db0f9c1c5df26,1,0.7294636368751526,0.7294636368751526,0.1428571428571428,1,"trump, biden, republican",2024-03-06 00:13:24+00:00,2024-03-07 22:09:52+00:00,52,7,"trump, biden, republican donald, trump, republican nikki, haley, presidential haley, nikki, race mark, robinson, candidate super, tuesday, trump biden, announce, gaza biden, propose, credit",trump biden republican donald trump republican nikki haley presidential haley nikki race mark robinson candidate super tuesday trump biden announce gaza biden propose credit,"['trump', 'biden', 'republican', 'donald', 'trump', 'republican', 'nikki', 'haley', 'presidential', 'haley', 'nikki', 'race', 'mark', 'robinson', 'candidate', 'super', 'tuesday', 'trump', 'biden', 'announce', 'gaza', 'biden', 'propose', 'credit']",2024-03-06 16:20:24.404000+00:00,Will Nikki Haley endorse Trump in March?,will-nikki-haley-endorse-trump-in-march,elections / politics,0.6715324537037037,0.9040667923280424,3.3850517094455093,2024-03,108274.395082,0.6346863468634686
8038,0x0785aa7d5b15c46c81c779cda3c6d937204c73872d5c1558049360ee43572d9b,2,0.7512747347354889,0.7701666951179504,0.0,1,"#2, #3, final",2026-02-07 03:47:41+00:00,2026-02-08 23:13:11+00:00,31,6,"#2, #3, final friday, final, scores brown, east, brunson stephon, castle, triple saturday, final, scores sunday, final, scores kawhi, leonard, clippers",#2 #3 final friday final scores brown east brunson stephon castle triple saturday final scores sunday final scores kawhi leonard clippers,"['final', 'friday', 'final', 'scores', 'brown', 'east', 'brunson', 'stephon', 'castle', 'triple', 'saturday', 'final', 'scores', 'sunday', 'final', 'scores', 'kawhi', 'leonard', 'clippers']",2026-02-07 07:10:25.849427+00:00,Stephon Castle: Points O/U 14.5,nba-dal-sas-2026-02-07-points-stephon-castle-14pt5,sports,0.1407968683680555,0.9798861616617064,3.714049663645184,2026-02,798.261576,0.2444600518272747
7881,0x079301969e3c7c4b63a03b98336f7aac9350b2fbc1068b1257688acbbf75c934,1,0.7008386254310608,0.7008386254310608,0.0,1,"final, scores, double",2025-12-31 06:10:02+00:00,2026-01-01 03:54:00+00:00,12,3,"final, scores, double tuesday, final, scores wednesday, final, scores wednesday, final, scores",final scores double tuesday final scores wednesday final scores wednesday final scores,"['final', 'scores', 'double', 'tuesday', 'final', 'scores', 'wednesday', 'final', 'scores', 'wednesday', 'final', 'scores']",2025-12-31 13:10:17.834353+00:00,Magic vs. Pacers: O/U 226.5,nba-orl-ind-2025-12-31-total-226pt5,sports,0.2918499346412037,0.9583071521941138,2.9995112262219203,2025-12,71114.80601,0.8882457986542939
7507,0x0873d893d590c648cb6935d27fe1f3c05d977814a8b91ec12e96d25ab4e97eae,5,0.7491933703422546,0.7712358236312866,0.0,1,"trump, threatens, tariffs",2025-10-10 15:01:30+00:00,2025-10-10 21:39:38+00:00,10,2,"trump, threatens, tariffs trump, announces, tariff trump, threatens, tariffs",trump threatens tariffs trump announces tariff trump threatens tariffs,"['trump', 'threatens', 'tariffs', 'trump', 'announces', 'tariff', 'trump', 'threatens', 'tariffs']",2025-10-11 01:35:50.589257+00:00,100% tariff on China in effect by November 1?,100-tariff-on-china-in-effect-by-november-1,elections / politics,0.4405160793634259,0.9370691315195104,4.734576481193348,2025-10,1464605.047421,0.9905028746088348
7456,0x099a4a84f63048af2b798d3fc01be4cc39af576ed182df6b1cbaae38e381bd74,2,0.745236873626709,0.7871450185775757,0.0,1,"#u20wc, #legendsinthemaking, action",2025-09-30 00:57:51+00:00,2025-10-01 23:18:07+00:00,98,12,"#u20wc, #legendsinthemaking, action #cfc, #ucl, till #singaporegp, singapore, most #u20wc, #legendsinthemaking, shortage #u20wc, #legendsinthemaking, ukraine #lfcu19s, #uyl, galatasaray 𝗚𝗢𝗢𝗢𝗢𝗢𝗢𝗔𝗔𝗔𝗔𝗔𝗔𝗟𝗟𝗟𝗟𝗟𝗟𝗟, #paffcb, guerreiro eddie, howe, make #cfc, #ucl, benoit’s #singaporegp, singapore, yuki #u20wc, #legendsinthemaking, action #singaporegp, #mclaren, singapore jannik, sinner, beijing",#u20wc #legendsinthemaking action #cfc #ucl till #singaporegp singapore most #u20wc #legendsinthemaking shortage #u20wc #legendsinthemaking ukraine #lfcu19s #uyl galatasaray 𝗚𝗢𝗢𝗢𝗢𝗢𝗢𝗔𝗔𝗔𝗔𝗔𝗔𝗟𝗟𝗟𝗟𝗟𝗟𝗟 #paffcb guerreiro eddie howe make #cfc #ucl benoit’s #singaporegp singapore yuki #u20wc #legendsinthemaking action #singaporegp #mclaren singapore jannik sinner beijing,"['#u20wc', '#legendsinthemaking', 'action', '#cfc', '#ucl', 'till', '#singaporegp', 'singapore', 'most', '#u20wc', '#legendsinthemaking', 'shortage', '#u20wc', '#legendsinthemaking', 'ukraine', '#lfcu19s', '#uyl', 'galatasaray', '𝗚𝗢𝗢𝗢𝗢𝗢𝗢𝗔𝗔𝗔𝗔𝗔𝗔𝗟𝗟𝗟𝗟𝗟𝗟𝗟', '#paffcb', 'guerreiro', 'eddie', 'howe', 'make', '#cfc', '#ucl', 'benoit’s', '#singaporegp', 'singapore', 'yuki', '#u20wc', '#legendsinthemaking', 'action', '#singaporegp', '#mclaren', 'singapore', 'jannik', 'sinner', 'beijing']",2025-09-30 16:00:01.206415+00:00,China Open: Jannik Sinner vs Learner Tien,atp-sinner-vs-tien-2025-10-01,sports,0.6265070186921297,0.9104989973296956,3.687236633256217,2025-09,30573.475441,0.8205243513063812
8018,0x0ce85a8421d1051d85b039581f260b9d020a615a76c82b11b798974c75232636,2,0.7559061646461487,0.7625364065170288,0.0,1,"#cfc, #chewhu, history",2026-01-30 02:18:56+00:00,2026-01-31 23:40:57+00:00,72,7,"#cfc, #chewhu, history flagg, cooper, game thursday, final, scores #cfc, #chewhu, hammers #ufc325, #rtu, winner egor, dёmin, history scores, friday, final nikola, jokić, returns",#cfc #chewhu history flagg cooper game thursday final scores #cfc #chewhu hammers #ufc325 #rtu winner egor dёmin history scores friday final nikola jokić returns,"['#cfc', '#chewhu', 'history', 'flagg', 'cooper', 'game', 'thursday', 'final', 'scores', '#cfc', '#chewhu', 'hammers', '#ufc325', '#rtu', 'winner', 'egor', 'dёmin', 'history', 'scores', 'friday', 'final', 'nikola', 'jokić', 'returns']",2026-01-30 20:10:30.733608+00:00,Nikola Jokić: Assists O/U 7.5,nba-lac-den-2026-01-30-assists-nikola-jokic-7pt5,sports,0.7441520093518519,0.8936925700925926,3.681546370105402,2026-01,219.63,0.3769259183653631
4149,0x0d2d1754232252bb73cc2fc31b4a9b1e16024002c393432b213e157bc3f9fa4c,1,0.7048453092575073,0.7048453092575073,0.0,1,"ford, $stla, strike",2023-09-15 02:10:38+00:00,2023-09-15 21:20:06+00:00,11,2,"ford, $stla, strike auto, workers, tesla $stla, strike, against",ford $stla strike auto workers tesla $stla strike against,"['ford', '$stla', 'strike', 'auto', 'workers', 'tesla', '$stla', 'strike', 'against']",2023-09-15 18:49:20.103000+00:00,Will the UAW strike end by October 31?,will-the-uaw-strike-end-by-october-31,elections / politics,0.6935428587962963,0.9009224487433862,2.9835690415379106,2023-09,7660.684205,0.8097826086956522
3532,0x0e6bc51b72765f2029d9d03fa0075d377ccc33461ce3bbc44f130e0f7e659555,1,0.7431950569152832,0.7431950569152832,0.2727272727272727,1,"$frc, bank, first",2023-04-24 15:01:19+00:00,2023-04-25 21:48:37+00:00,42,5,"$frc, bank, first $frc, bank, first first, republic, $frc $frc, halted, resumed first, republic, $frc first, republic, bank",$frc bank first $frc bank first first republic $frc $frc halted resumed first republic $frc first republic bank,"['$frc', 'bank', 'first', '$frc', 'bank', 'first', 'first', 'republic', '$frc', '$frc', 'halted', 'resumed', 'first', 'republic', '$frc', 'first', 'republic', 'bank']",2023-04-25 22:11:06.555000+00:00,Will First Republic Bank fail by April 30?,will-first-republic-bank-fail-by-april-30,company / product announcements,1.2984670717592592,0.8145047040343916,3.6979321838736015,2023-04,24955.890075,0.9744990892531876
7068,0x0fec5aa6c16c89a61d94896c219a6bba41d6e05bcdfa87f7fa3965465689c643,1,0.7226703763008118,0.7226703763008118,0.0,1,"#btc, #crypto, trump",2025-07-06 17:00:02+00:00,2025-07-07 23:40:03+00:00,50,9,"#btc, #crypto, trump stock, $spy, $qqq $oscr, volume, drying $tsla, overnight, trading tesla, $tsla, trading bitcoin, #btc, #crypto trump, announces, tariff elon, musk, bitcoin trump, impose, tariff trump, scheduled, talks",#btc #crypto trump stock $spy $qqq $oscr volume drying $tsla overnight trading tesla $tsla trading bitcoin #btc #crypto trump announces tariff elon musk bitcoin trump impose tariff trump scheduled talks,"['#btc', '#crypto', 'trump', 'stock', '$spy', '$qqq', '$oscr', 'volume', 'drying', '$tsla', 'overnight', 'trading', 'tesla', '$tsla', 'trading', 'bitcoin', '#btc', '#crypto', 'trump', 'announces', 'tariff', 'elon', 'musk', 'bitcoin', 'trump', 'impose', 'tariff', 'trump', 'scheduled', 'talks']",2025-07-08 02:02:38.286386+00:00,Will Grok-4 be the top AI before August?,will-grok-4-be-the-top-ai-before-august,entertainment / awards,1.3768088702083334,0.8033130185416666,2.9757191367830056,2025-07,61101.671865,0.7964148527528809
