market_id,category
0x000aea148f4edc5a38eeab8fc0513a53c62f9cccd6a914dbdedd5b8f5ebcd09f,elections / politics
0x001459171ad629c285e915ca8c18ccafa7893ddd028116c9724adbc62eead534,sports
0x00238c225bad4150e274659158e5cb006c315a750a60ba3248110984e7200992,crypto / digital assets
0x002ca0fdf942fc05b704d024c201a5605dabd0788208419a8caa5096d1336057,crypto / digital assets
0x0033c217a3f42a727f0f82b5a0683325ab859fac8ae38fb5add81d914d4fa22a,crypto / digital assets
0x00383280630c459e7b6338bac9d70777ea5b823124e62d41cc59dd88cdf8aaa6,crypto / digital assets
0x003d1717e397c6de64a4a7c62fcbb43fd52c3bb3140ef502181274461e72bdd4,crypto / digital assets
0x004467f728a9f7fe2dacef20652652bee631179ce3841623a15f57dc81e176ba,elections / politics
0x0044de84a4d8512f545e86dd63a106ad994981ca5d42fd381f2c57e803f0c84b,entertainment / awards
0x004a601dd22363a020d536deb41765049fa0c1eade35932f10b556dc5829b7ff,entertainment / awards
0x004e19d419d05dd366793689ce2af457d51bc921d9da4af867de09f0864a4305,elections / politics
0x0051f10b6ef6fccabe3d07feea5f12217dec25a857b7b8931d6969dee94ffbd7,elections / politics
0x00595863287c7c30148d0714255073d0ae0cf338f5287195b720b4ad1c5cbab7,elections / politics
0x00597b15e0b5b768d4af13735cb11220df9621053b59891ccf99c14bcd1cb286,elections / politics
0x0059b805dab215461b96df56df6189e592d2ddcc95fcf3641f320a2f05b5ed36,crypto / digital assets
0x0059f5405d768fb411aa56a59867a540d552d03407bbce466ca57f6a75c72e21,elections / politics
0x0059f556860ae33f1567e1b352257ab30bc9e587a81068b33db3993ab55d2880,crypto / digital assets
0x005c049ebc75a165d37f06225d00cf1fbfd6688666e9210029b5d09ef2d8ca55,crypto / digital assets
0x005c717a74e620db3360f9820aa2ed4d986c7f26de68491a969980cb1780ea62,company / product announcements
0x005e09c01a35ac432674032beee7e1182f0303359753d9b1e6a327d598023234,elections / politics
0x00661b4efa15d1ae67324e24f80fa767af020110b5db4b42ae5f528165754c31,crypto / digital assets
0x00675dd5141dda547442d88e993eb069d7137148f1795770d36a1870c502f2bf,elections / politics
0x006af5cbec9ee925c968759fc58663dc6c3144b82302d9fbb88038d7eaa6550a,crypto / digital assets
0x006de0b3e3c8b436461ffed9eea638b2b56262a150adb0c29cbda2f8755f7a1f,crypto / digital assets
0x006e55d4c4d7b9edacf1cf9ab45c8fcc17e21dbfeb90b94ded69771d201fc06d,crypto / digital assets
0x0076c6739a68d2a83d3e761a854585e40a3c59145f96f87b36105469347710c0,crypto / digital assets
0x007874e445b2e07f6372e8c10fdafa0f0132e7aca49cbb6c1d4d329855d17bb7,entertainment / awards
0x0079ccdc1100ed71cb1f02ee2fc5c5b813a3b492e164e5dcf026228820cca24e,sports
0x007b7b41f30f623d874617dd9419f120d1db705805fb37660d8ce165f70afcd6,crypto / digital assets
0x007e5823c23c6124f3b860cc050bb0fd21f1956d8b366aeb817acaecef6d5f4f,entertainment / awards
0x008a3cd7ad0419bc0f25837c59ef5e8a0a4d9519f08acca8dfb806aea07b2ffe,sports
0x00a012e8f00c79862d86ceb1a9cf74d1a57059fbd69634008c95c9d5495b98fd,entertainment / awards
0x00aabe0ae2b0b098842dacbd952489991af6671908627f2bc1453df5525bd3c7,elections / politics
0x00aebfa73ed09961504a16f6c47972b2f3aad10cecac17d41952f5adfc89eaeb,sports
0x00afea85ad607fd8c82b6a32db5f60197e01a044ec6078a5251f18a09b4ad86f,elections / politics
0x00b56babd39357f9c5b2d30be210b24810537dfce296ac4bf4d4866679bca2bf,crypto / digital assets
0x00b5fb30b25870d7c212d702e5d3fc0c282375cfb95b2a603c9a8bcba49d4b54,elections / politics
0x00b61f16f6e3859201401b604b013d4afd76f63f91ed97f9a4043061196f4288,entertainment / awards
0x00c0c6e58abec753509cfb76c381f0d99b9a3d6a0a8099dc50d99972c63eaec8,crypto / digital assets
0x00c192a07f903b21e4b5a58b62388d51ae7d31bac8ee6eb1788527675509591c,crypto / digital assets
0x00c1feb338168a90e372f6ae720f087d3182d8157d3879e95e20524b667c5a62,crypto / digital assets
0x00c220e55ff24400522bc2dc87bcb4441ef5c1fea77185f5203b75ae3e506d6f,elections / politics
0x00d26b463b43da448379b59366803a4758366e98d6c446c856944067161891bd,crypto / digital assets
0x00d487379dff91ee1eb84a58d91ca93b2c09d4dc892d439f28c435febafaf28c,crypto / digital assets
0x00fe2219f57e3dfc0c2d923cebf01b03ae4c0e7ffaf60c52b96269ea8c94e635,elections / politics
0x00fe5e24e1834a4bd5d59bae32530eb6c158ed4c0898c4aaf95b488ca94dafca,elections / politics
0x0101a8b4dd07b52bc6494d5d340e90f3bfcb8105cd0f4df9273447702ba55f12,crypto / digital assets
0x01024d8b2f1a3d22d8781f8a52dc8628571485e17b29743a723958b98935152b,crypto / digital assets
0x01081df0cc99aef286312d8e520fa35d881918f3d0229556bc0a87be0dd9fd37,entertainment / awards
0x010f22e236433b0f889bbc9958f79a4b0644939650436fde7b9fbeab8bac84be,none
0x0116d578bcea8a432dfa6f4c9e82cf243db339cce81806b58a8053b0bee96dfd,entertainment / awards
0x011d5996077128710ad8ef943564efabd6fbbf581d0b654e43e74a2d927d2cc1,crypto / digital assets
0x011ecec3d4dfed4e745938baeed936eada79a44f33828e8f5b95cb175f7e0264,company / product announcements
0x012c20b8f149f0d846cdff44004659bcac4a26935b382ab89b47f51c489ece4f,sports
0x012e69a6447e2b9d4ddae7240e640dad82a93f5733cae9a0b9a77001eeccb243,crypto / digital assets
0x01347cc520df1a70fd7a5e6caf7fd522e6a5d5aad88720d6c054ae2c9b2885a5,sports
0x013a51e7f8f724515f9207d43f1d69ab4e5b812f1dd74c81c086d12b64b52b9e,crypto / digital assets
0x013db3889c69bd00e5edac900b4677afab26cecb9b7c36dabbd1104d300d0c5a,crypto / digital assets
0x013f2310e5e5f31db3dc188e07ce24a8ffe0a782eb877fd7a549b0f4c90124b8,crypto / digital assets
0x01467afa3046b3c9babfc73fef100fc735f441668c1da42b5a7da72a40061313,sports
0x014ace6bd337ec712afb7cb14bc5340ab5d326b2841c3426ff3a1eb8b31a9c58,crypto / digital assets
0x014ef8b82f79c28b79763e057a7b93cced9e838fa4ce7d765c315186e0567430,entertainment / awards
0x01535e3cf62ce97808dc95e8f0f6ebc12006859cef61fd1513f1a9c87aeb2e10,sports
0x0157363ea0466c6bd46d95deb215fd66b6f6bbee873a6ac2d18fdbd416dd7eca,crypto / digital assets
0x01686e4478a44ed1a631fe0b8f4b398a7e30f75ae8afabc437c62e57ce14395b,crypto / digital assets
0x016acf76d7f97abfe66dc987551b65993ccce462cba010534416fd3529e2cd2e,sports
0x01717da307579cbb23cd05e951a404dbd984e0e3ef6dc26985f786d0c4ff8816,elections / politics
0x0175e4604ee45d74a410512e18b6725f7c377e42b08d52f6bd6ce54115d77d23,elections / politics
0x0178f1891e10be8edb82950670c8aabaab1b91dd75a26bc624bcdeb7e4544e63,sports
0x018e52bb9120d5cb7293d48d17a40c6b3cc10e32a1592832f5538051aaa4582c,entertainment / awards
0x018f8a270f620b84b47207eed3fb8db7354c232824ba3fa97a1ecfa448efbea9,crypto / digital assets
0x01955b0dae956491f1cdf6829ae438d39d768f6a55698f0084b37cc2a7f84c1a,company / product announcements
0x01987f5597562f23c0abb83fc2018ecf12fd9317d68ebfb992fc57a40702e11e,crypto / digital assets
0x019b46af3e373a5d9b5269459d654a2d5a2e444857dc95d0a40d3383247c24f9,elections / politics
0x01ae646d98b8f3eecfed331399c635d1fd7f2efcb4ada441aa943e969bd3cbe7,sports
0x01bd87635c952eb40a791c61c56643f8b0f823a1c39e39d23be07f9f6d7eb145,elections / politics
0x01bec04b3b16f26b2d335894505cf033fe71093d90a84fb47e333abb4ad4028a,sports
0x01c610adebf01d60071f3bde6387515a5de42a75f0fe4a0f879dcff93a82b0dc,sports
0x01c85fb55ff4f1a406c951dfefc03b55c3455ed027e5443ba682efcdaaf1d000,elections / politics
0x01d383acdf86b78f783a7fd30b9bb899e773eeee14b50a7d17ad4bf7bb278ae8,elections / politics
0x01d39642546d35fb6785f2f9ae5deeb2c2bb264fc2afdb914ca1f8daae2ff078,crypto / digital assets
0x01d662916aafaa18ed2e6452482074bba88a19982ca2865ac04b1ed550d60d13,company / product announcements
0x01e83611e84e9d51926d613ca0591495c32d884dfd0adddc339b55175d4c531c,sports
0x01f240be671a18919fddf0513f10eedd50575e7cb23d844d3c6421dc7482bbf9,sports
0x01f4bd0da051f482215aee1daa184851d9cb89f1c4f35b8fadc7fcdc0706cbd8,crypto / digital assets
0x01f52026248d896caca5cfd585399fa65b529541fbf4defa3e09b2008c6f160b,crypto / digital assets
0x01fb7cea36141f96f480568312aca509a66a38da6527e77cf7690c27b11b926a,crypto / digital assets
0x0228c334b70792abe9e3c0f8dddf34b8a371837d830c2278c518338c6d4cde13,elections / politics
0x0232d9789fad275889803816a0db229c56a25ae6af416c45612165b499c7ecc7,sports
0x02330ccbfc1a90b7330ed35f27fadb01b64f5e523bfaaa5329ff0da249f836c1,crypto / digital assets
0x023702fcfe098c1e9659f7c3cb9aa8d0b524245242397805fda424ea337ef158,crypto / digital assets
0x023f1f07d6e8d9c8b66ad2e868211b16f4bbf666b1b7971617b179ea0349c68f,sports
0x02444dec7b53bd60b91ac0c69ce1cf3940989deccecbf50096815ca9b3ead948,company / product announcements
0x0248bcacfbef172a6ebe7ab8428b5de9ab1d8a8527c85e1126fcf9ccfff0195e,crypto / digital assets
0x024a709753649ea5cae9ada906303e6fb445bfe77f66a9f8e59e9c3377ffa888,crypto / digital assets
0x02555b5d8a0c65100b5d66df06a93ec0e05f917444b3bbd7a4709114eb1e3ec7,elections / politics
0x0264b43a7248207dd3a63b61d1d449778a097b00a64353ba2f75a05f74e1f3cf,elections / politics
0x026bd42df2b17550ad5edceb43f95553b254deb94571905c5338cb3dc5a801ab,elections / politics
0x026c2b146120264d4e14b9d8f8e5356f5dbb3e48f397f51b7a5ca4359b89318a,crypto / digital assets
0x026dcea519a3b1e8d8722d3e3298d3d8d1ad98658aa17de6b584134e59988fed,elections / politics
0x0275ff4c1237a0dfc1b6a0cb6817895065584177e3dcf5e868725fceb2165b87,company / product announcements
0x027dc58639ac49b021a6d6bb31e2692f6b0b0881fa27f5c24c4a60fb7719ac82,crypto / digital assets
0x027eeeaba097b5f3b166eace64668b2e6b327acc7c6b314ae5f03b33b51425e7,elections / politics
0x027fb2d0015f7fbae58491502e906948373c88cd49dc90f0d36c1e692644e42e,elections / politics
0x028090d4889690ccc046b7051ecb25c5bc557dd9317fec43fd5eb8fa31c5b087,entertainment / awards
0x028277d300b739e14d350f84c51c510281c01f0911791aa2531e6ee780ace127,sports
0x028677b9ba323fc14fbe51271daf9c6f2feed7345c2a6a485f95fe512014c734,crypto / digital assets
0x028a9659c9a5b681903a3fd325a007544fd82d532d471e30fbef6ba00f438503,entertainment / awards
0x028aa9e2112ea47de4f470748c6befdfbe343cbe12386aaf5262cee021581eb8,crypto / digital assets
0x029b97c107ad80bb70e0a8047336c482e718b3a43270d07214e824e70a5dfe33,sports
0x02a4a20fc90d02233ce568ffa066778d117293be379f3915c2d2f967618e628c,crypto / digital assets
0x02a585901147d743511ee87c6d5fe7c0215a850b79b1e393157a6186871eda18,crypto / digital assets
0x02a6b90d963006e8b37509f70b50e31a48c0fda466dd8acb00ae2157c8d8da02,elections / politics
0x02a9f99a4a053a88b41f8b83af688c1070512b221ee771029ddd8c9c0041012f,crypto / digital assets
0x02b0db1128e0d73c993671284e596a02b8343bf3e2352eb283838cb4ef2e0e7f,crypto / digital assets
0x02b36f219ad7c0676f29c1333aeeda41a13e8553f79661304e2f124def551d42,crypto / digital assets
0x02b89b2b3975a1c5416e8e9cc8d54d18186976ab1c1a3ca4f78a67e065f4058a,none
